,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,State,Year
89,Total all ages,104886.0,2327.0,14038.0,36.0,306.0,398.0,1587.0,890.0,12545.0,541.0,62.0,7972.0,704.0,1007.0,35.0,940.0,2868.0,839.0,374.0,686.0,19562.0,1.0,1428.0,7119.0,3826.0,2677.0,2280.0,63.0,35815.0,4.0,321.0,,,UTAH,2018
90,Under 18,702.0,40.0,100.0,0.0,16.0,4.0,20.0,13.0,74.0,9.0,4.0,163.0,0.0,8.0,2.0,3.0,75.0,12.0,0.0,9.0,38.0,0.0,5.0,15.0,45.0,0.0,79.0,0.0,108.0,0.0,0.0,72.0,615720.0,VERMONT,2018
91,Total all ages,14334.0,684.0,1637.0,11.0,86.0,38.0,549.0,220.0,1343.0,54.0,20.0,1519.0,52.0,306.0,56.0,98.0,321.0,36.0,1.0,38.0,902.0,0.0,201.0,2576.0,82.0,0.0,853.0,0.0,4972.0,0.0,0.0,,,VERMONT,2018
92,Under 18,15864.0,719.0,2994.0,18.0,90.0,330.0,281.0,314.0,2420.0,217.0,43.0,2694.0,19.0,126.0,25.0,176.0,515.0,294.0,4.0,109.0,2132.0,0.0,36.0,49.0,503.0,68.0,588.0,0.0,4293.0,0.0,520.0,389.0,8240312.0,VIRGINIA,2018
93,Total all ages,268094.0,7090.0,26694.0,356.0,558.0,1431.0,4745.0,2309.0,23014.0,1180.0,191.0,30541.0,1572.0,4868.0,1272.0,1085.0,3490.0,4062.0,373.0,597.0,45409.0,12.0,1536.0,20885.0,4131.0,19398.0,2844.0,46.0,91669.0,0.0,520.0,,,VIRGINIA,2018
94,Under 18,10996.0,866.0,2274.0,19.0,81.0,323.0,443.0,411.0,1617.0,216.0,30.0,2764.0,8.0,17.0,1.0,165.0,798.0,215.0,4.0,140.0,1053.0,0.0,4.0,152.0,554.0,10.0,263.0,0.0,1699.0,0.0,9.0,198.0,6423244.0,WASHINGTON,2018
95,Total all ages,171466.0,8384.0,25722.0,150.0,536.0,1767.0,5931.0,4292.0,19762.0,1504.0,164.0,24701.0,677.0,1130.0,55.0,3245.0,4798.0,1824.0,211.0,550.0,11283.0,7.0,257.0,27632.0,1721.0,78.0,2460.0,120.0,56599.0,3.0,9.0,,,WASHINGTON,2018
96,Under 18,496.0,38.0,55.0,1.0,2.0,3.0,32.0,9.0,44.0,2.0,0.0,121.0,0.0,1.0,1.0,2.0,22.0,9.0,0.0,6.0,67.0,0.0,0.0,6.0,13.0,7.0,15.0,0.0,124.0,0.0,9.0,131.0,1052107.0,WEST VIRGINIA,2018
97,Total all ages,29202.0,1173.0,3757.0,28.0,55.0,56.0,1034.0,440.0,3112.0,181.0,24.0,2825.0,214.0,265.0,41.0,263.0,468.0,281.0,60.0,63.0,6044.0,2.0,86.0,3141.0,555.0,727.0,689.0,8.0,8531.0,0.0,9.0,,,WEST VIRGINIA,2018
98,Under 18,35109.0,1023.0,4622.0,14.0,220.0,258.0,531.0,472.0,3531.0,578.0,41.0,2419.0,37.0,96.0,36.0,335.0,1443.0,444.0,5.0,521.0,3150.0,1.0,96.0,213.0,1786.0,0.0,6994.0,27.0,10437.0,0.0,1424.0,422.0,5730204.0,WISCONSIN,2018
99,Total all ages,245015.0,7907.0,25731.0,171.0,925.0,1172.0,5639.0,2080.0,22087.0,1431.0,133.0,16251.0,899.0,2220.0,368.0,1125.0,5531.0,3683.0,451.0,1587.0,31066.0,19.0,2116.0,24368.0,10654.0,0.0,31008.0,530.0,78077.0,0.0,1424.0,,,WISCONSIN,2018
100,Under 18,3191.0,52.0,391.0,0.0,1.0,1.0,50.0,62.0,299.0,23.0,7.0,404.0,0.0,5.0,0.0,6.0,108.0,16.0,21.0,21.0,580.0,0.0,9.0,50.0,364.0,15.0,104.0,41.0,906.0,12.0,86.0,54.0,507616.0,WYOMING,2018
101,Total all ages,28437.0,600.0,2197.0,12.0,26.0,21.0,541.0,239.0,1811.0,128.0,19.0,1902.0,36.0,127.0,6.0,80.0,421.0,52.0,53.0,109.0,4895.0,0.0,433.0,3432.0,1725.0,3062.0,840.0,166.0,8198.0,17.0,86.0,,,WYOMING,2018
0,Under 18,103,3,70,0,0,2,1,0,68,2,0,4,0,0,0,0,6,3,0,0,9,0.0,0,0,0,1,0,0,7,0.0,0,2.0,85670.0,ALABAMA,2019
1,Total all ages,1831,29,522,4,0,14,11,13,502,5,2,191,19,8,6,33,17,43,0,0,378,0.0,3,36,1,49,24,0,472,0.0,0,,,ALABAMA,2019
2,Under 18,1433,177,321,5,34,24,114,110,148,52,11,372,2,3,2,3,108,18,0,24,156,0.0,0,22,43,1,11,0,170,0.0,0,19.0,684330.0,ALASKA,2019
3,Total all ages,27602,2559,3006,46,126,310,2077,606,1878,473,49,4853,78,121,43,93,1161,258,5,242,930,0.0,150,2855,305,31,740,2,10170,0.0,0,,,ALASKA,2019
4,Under 18,18502,1097,2839,19,48,296,734,489,1992,328,30,3583,9,69,6,87,1473,288,3,254,2970,1.0,188,130,988,92,1299,36,2659,0.0,431,94.0,5578646.0,ARIZONA,2019
5,Total all ages,235594,11325,29328,294,267,1797,8967,3536,24164,1456,172,23655,772,1959,424,896,9185,2884,242,1239,28254,1.0,2501,18041,5950,11317,13658,421,73083,28.0,431,,,ARIZONA,2019
6,Under 18,7809,445,1425,11,38,78,318,230,1090,96,9,1700,21,27,1,155,264,109,0,19,823,0.0,3,55,158,70,690,0,1607,0.0,237,248.0,2665648.0,ARKANSAS,2019
7,Total all ages,117237,5050,13433,166,289,475,4120,1896,10889,585,63,11609,837,839,52,1715,1804,1035,83,74,17844,24.0,324,6108,1221,5604,2574,320,46450,0.0,237,,,ARKANSAS,2019
8,Under 18,38617,6745,6539,64,193,2806,3682,2362,2884,1164,129,7292,44,159,19,781,2112,2617,19,811,2459,9.0,3,464,838,456,832,64,5643,0.0,711,717.0,38183434.0,CALIFORNIA,2019
9,Total all ages,1014785,102427,88854,1284,2155,15404,83584,32859,39588,14870,1537,77849,3721,6703,972,14777,16462,26673,5751,8560,212417,562.0,278,120262,5363,53788,3218,4688,260749,0.0,711,,,CALIFORNIA,2019
10,Under 18,16885,806,3062,16,86,251,453,319,2306,382,55,1972,9,63,2,25,843,339,2,135,1920,0.0,28,197,899,17,1565,0,4496,0.0,505,184.0,4910658.0,COLORADO,2019
11,Total all ages,195870,8058,25261,152,532,1148,6226,2518,19662,2883,198,16700,722,2771,69,487,5084,2414,354,463,15846,13.0,2145,19658,5863,378,5966,465,82648,0.0,505,,,COLORADO,2019
12,Under 18,6942,304,1405,4,37,144,119,214,946,228,17,1704,11,29,6,87,299,151,0,51,570,0.0,24,22,7,0,1328,0,935,0.0,9,107.0,3565287.0,CONNECTICUT,2019
13,Total all ages,92925,3060,11932,83,223,764,1990,1470,9754,646,62,16304,475,858,134,350,1711,1073,120,330,7295,11.0,1502,7577,86,11,10560,44,29483,0.0,9,,,CONNECTICUT,2019
14,Under 18,2924,316,551,1,14,107,194,145,325,74,7,836,1,60,6,81,140,59,0,20,256,3.0,0,2,24,3,214,0,312,0.0,40,52.0,970535.0,DELAWARE,2019
15,Total all ages,30038,1898,5422,20,75,383,1420,745,4461,192,24,6400,219,1312,162,365,849,325,82,101,3815,20.0,157,452,539,356,1138,229,6157,0.0,40,,,DELAWARE,2019
16,Under 18,807,188,65,0,0,167,21,0,65,0,0,165,0,0,0,26,9,18,0,2,10,0.0,0,0,0,0,73,0,251,0.0,0,2.0,0.0,WASHINGTON DC,2019
17,Total all ages,12963,296,128,0,2,221,73,0,127,1,0,622,2,2,0,41,46,62,0,22,799,0.0,1,7,1385,49,409,4,9088,0.0,0,,,WASHINGTON DC,2019
18,Under 18,44634,3268,11457,58,247,1252,1711,2678,6665,2062,52,7913,29,368,32,158,840,871,4,321,3881,0.0,0,118,282,1,0,0,15091,0.0,0,618.0,21418599.0,FLORIDA,2019
19,Total all ages,679072,33860,85675,787,1765,6006,25302,13560,64087,7776,252,80785,1808,11226,1047,1512,5956,6551,2049,3209,110145,107.0,10,33872,10774,32,43,0,290411,0.0,0,,,FLORIDA,2019
20,Under 18,5176,270,1032,11,12,85,162,174,783,63,12,1018,19,24,0,79,139,145,1,103,599,0.0,34,26,57,18,481,17,1018,0.0,96,112.0,2372788.0,GEORGIA,2019
21,Total all ages,59704,2313,7510,70,88,316,1839,873,6318,282,37,4924,493,712,17,634,1048,742,148,394,10763,15.0,784,5620,461,466,2986,322,19252,4.0,96,,,GEORGIA,2019
22,Under 18,1849,107,297,0,14,61,32,36,248,9,4,355,1,0,0,45,20,15,0,36,274,0.0,0,20,54,0,43,0,409,0.0,173,2.0,1142377.0,HAWAII,2019
23,Total all ages,25165,856,2500,28,91,224,513,285,1937,239,39,3159,59,98,1,449,144,207,107,119,1947,103.0,8,4049,343,0,573,3,10267,0.0,173,,,HAWAII,2019
24,Under 18,6235,210,899,10,53,15,132,115,700,49,35,773,4,28,6,14,264,100,0,90,956,0.0,12,82,207,29,283,0,2185,0.0,93,101.0,1751712.0,IDAHO,2019
25,Total all ages,57646,1878,4644,84,204,83,1507,711,3707,179,47,4200,97,343,40,171,760,304,13,291,10889,0.0,620,7893,1250,650,1537,11,21953,9.0,93,,,IDAHO,2019
26,Under 18,696,50,66,1,1,27,21,5,50,6,5,133,0,6,0,29,25,24,0,1,123,0.0,1,0,8,0,95,0,111,0.0,24,1.0,145719.0,ILLINOIS,2019
27,Total all ages,8248,487,565,18,19,75,375,76,461,12,16,1516,17,33,0,93,319,137,62,10,569,0.0,213,396,73,0,643,21,3070,0.0,24,,,ILLINOIS,2019
28,Under 18,5211,282,902,5,9,57,211,98,698,101,5,934,5,18,1,14,140,122,0,32,780,1.0,58,28,370,12,292,5,1146,3.0,66,165.0,2713489.0,INDIANA,2019
29,Total all ages,76675,3235,8492,71,90,332,2742,851,6940,634,67,5680,664,1010,57,129,541,1202,17,283,15134,19.0,532,8524,2434,1771,1883,25,24965,12.0,66,,,INDIANA,2019
30,Under 18,8901,503,1891,0,44,70,389,293,1362,201,35,1723,13,39,2,46,629,123,1,33,890,0.0,5,75,453,84,964,0,1305,0.0,122,185.0,2597154.0,IOWA,2019
31,Total all ages,87139,4436,10055,35,183,274,3944,1271,8118,581,85,7173,433,558,45,239,1874,715,32,96,8444,4.0,870,9667,2491,4474,3180,8,32223,0.0,122,,,IOWA,2019
32,Under 18,3632,208,552,1,25,33,149,72,423,40,17,754,1,10,5,31,210,53,1,35,621,0.0,13,65,278,0,127,0,668,0.0,0,218.0,1614393.0,KANSAS,2019
33,Total all ages,52378,2212,3741,51,112,190,1859,416,2983,290,52,7043,160,349,46,482,1536,767,79,129,8475,1.0,216,5672,1751,103,1425,0,18191,0.0,0,,,KANSAS,2019
34,Under 18,4798,330,1193,15,38,130,147,262,692,192,47,933,13,33,4,355,219,101,0,28,398,0.0,5,41,8,41,164,0,930,0.0,2,388.0,4315643.0,KENTUCKY,2019
35,Total all ages,241668,3386,16163,161,267,774,2184,2646,12383,987,147,12391,1074,1426,351,2902,1406,820,100,234,24555,19.0,5202,15570,135,14049,4082,50,137751,0.0,2,,,KENTUCKY,2019
36,Under 18,12267,962,2546,30,79,169,684,629,1646,237,34,2504,8,22,3,177,380,384,3,99,921,13.0,105,21,71,21,1573,34,2276,5.0,139,136.0,3483954.0,LOUISIANA,2019
37,Total all ages,146664,8823,24465,339,333,920,7231,3794,19323,1254,94,15577,573,911,129,1900,2457,3119,339,562,25900,92.0,1369,5509,1842,2248,5683,323,44684,20.0,139,,,LOUISIANA,2019
38,Under 18,2470,42,543,0,11,8,23,81,413,33,16,518,1,11,6,9,212,7,1,24,282,0.0,2,26,298,2,67,0,416,0.0,3,132.0,1339229.0,MAINE,2019
39,Total all ages,38973,685,5010,10,63,89,523,502,4266,197,45,4792,145,401,41,98,981,137,51,175,3600,3.0,154,5444,1577,13,1232,2,14427,2.0,3,,,MAINE,2019
40,Under 18,18857,2046,3950,17,101,1191,737,649,2668,561,72,5248,16,45,3,41,852,618,2,152,1831,17.0,7,45,268,0,990,9,2680,1.0,36,151.0,6043312.0,MARYLAND,2019
41,Total all ages,181677,10256,21791,254,528,3292,6182,3634,16022,1913,222,22532,399,843,118,275,2738,3768,633,728,30005,58.0,1810,18160,4206,44,5018,227,57984,48.0,36,,,MARYLAND,2019
42,Under 18,4141,486,652,1,23,85,377,155,390,91,16,1212,9,19,3,98,242,94,0,39,110,0.0,11,15,64,12,167,0,908,0.0,0,334.0,5896253.0,MASSACHUSETTS,2019
43,Total all ages,101553,6262,9561,38,310,563,5351,1370,7621,509,61,16622,409,991,81,762,1947,891,348,327,7119,18.0,1025,9426,1152,4685,3532,53,36341,1.0,0,,,MASSACHUSETTS,2019
44,Under 18,11172,1025,2646,20,148,218,639,358,1979,279,30,2748,25,129,59,259,428,296,8,125,403,1.0,5,132,187,3,408,0,2099,0.0,186,619.0,9590606.0,MICHIGAN,2019
45,Total all ages,210905,12521,22003,346,846,1272,10057,2528,18012,1246,217,28821,695,3708,1121,2193,3001,5346,448,593,13475,76.0,2033,25574,4061,346,5507,79,79118,0.0,186,,,MICHIGAN,2019
46,Under 18,18594,943,3968,15,122,396,410,304,3174,454,36,2368,30,215,5,255,695,311,0,138,1412,5.0,9,146,1525,0,1933,0,4006,0.0,630,368.0,5433467.0,MINNESOTA,2019
47,Total all ages,145820,5676,25211,104,656,1122,3794,1975,21580,1555,101,14981,1066,4486,21,1944,2599,2169,154,805,18714,37.0,569,19863,6578,28,8473,194,31622,0.0,630,,,MINNESOTA,2019
48,Under 18,2719,108,596,6,5,40,57,138,397,57,4,507,11,25,3,37,61,82,0,8,214,1.0,124,27,17,12,362,1,460,6.0,57,53.0,1240709.0,MISSISSIPPI,2019
49,Total all ages,64967,1404,7255,133,63,323,885,944,5909,366,36,5338,318,724,322,625,590,983,67,139,8717,39.0,2045,5269,639,2332,3457,230,24410,7.0,57,,,MISSISSIPPI,2019
50,Under 18,10435,722,1799,25,76,202,419,236,1336,215,12,1796,5,43,11,410,424,141,1,126,1307,5.0,27,115,376,12,918,3,1907,0.0,287,178.0,3840334.0,MISSOURI,2019
51,Total all ages,156375,7184,18331,286,413,1098,5387,2483,13947,1815,86,14488,729,1411,194,3155,2709,2867,145,574,28526,11.0,1222,14237,2360,156,5759,980,51050,0.0,287,,,MISSOURI,2019
52,Under 18,4355,180,658,0,14,4,162,62,535,55,6,580,3,10,1,21,245,16,0,30,324,0.0,40,56,523,79,413,0,902,0.0,274,78.0,938389.0,MONTANA,2019
53,Total all ages,30218,1758,4584,18,61,84,1595,314,3971,281,18,4083,175,188,34,247,867,74,4,110,2661,1.0,672,3681,1020,309,2385,24,7066,1.0,274,,,MONTANA,2019
54,Under 18,8282,242,1846,2,48,130,62,93,1565,165,23,1605,2,72,8,123,626,115,0,67,1111,0.0,106,56,521,0,398,0,1285,0.0,99,127.0,1761663.0,NEBRASKA,2019
55,Total all ages,61726,2224,8233,34,248,361,1581,485,7255,432,61,8434,271,1207,69,684,2180,1072,109,389,10869,3.0,1255,5676,2798,0,2392,11,13751,0.0,99,,,NEBRASKA,2019
56,Under 18,10818,955,1246,7,58,252,638,222,886,116,22,2041,14,134,12,183,331,280,110,103,1778,6.0,27,56,315,89,1216,11,1579,0.0,332,41.0,2948674.0,NEVADA,2019
57,Total all ages,145951,7560,10248,124,423,1286,5727,3145,6357,670,76,18855,476,2033,356,1839,1829,2355,2960,1157,12092,34.0,962,11170,3033,262,2646,3383,62323,46.0,332,,,NEVADA,2019
58,Under 18,3243,58,241,3,7,12,36,25,197,17,2,619,3,11,6,28,193,4,0,25,337,0.0,1,34,186,215,88,0,1184,0.0,10,182.0,1281465.0,NEW HAMPSHIRE,2019
59,Total all ages,43960,723,3370,15,89,129,490,246,2962,148,14,5357,226,728,80,455,1139,119,49,128,5584,3.0,144,5116,1783,3839,908,94,14105,0.0,10,,,NEW HAMPSHIRE,2019
60,Under 18,13360,1041,2199,12,53,466,510,434,1572,173,20,1171,26,55,15,498,501,605,2,141,2959,61.0,56,67,417,4,1101,8,2031,0.0,402,577.0,8882190.0,NEW JERSEY,2019
61,Total all ages,257734,9294,22277,184,356,2063,6691,3309,18200,647,121,20570,950,3852,212,2482,3068,3791,770,1026,55611,169.0,7379,21112,1825,66,11207,168,91406,97.0,402,,,NEW JERSEY,2019
62,Under 18,2852,196,265,6,9,25,156,43,206,15,1,721,0,6,1,28,94,71,0,6,438,0.0,19,34,157,26,219,1,555,1.0,14,60.0,1366127.0,NEW MEXICO,2019
63,Total all ages,59847,3412,5444,49,58,271,3034,705,4445,254,40,7399,134,342,117,704,1200,469,47,53,3260,3.0,1496,4190,875,1922,1501,71,27189,5.0,14,,,NEW MEXICO,2019
64,Under 18,11606,1143,3263,19,183,446,495,559,2303,352,49,1845,29,62,0,286,1339,236,2,224,1510,1.0,4,55,50,0,257,3,1297,0.0,0,491.0,9909569.0,NEW YORK,2019
65,Total all ages,218837,10788,38303,197,988,2222,7381,3866,32464,1755,218,24101,1732,3497,20,2239,11841,2814,499,1544,55575,32.0,514,25059,529,0,3769,755,35226,0.0,0,,,NEW YORK,2019
66,Under 18,12088,792,2798,39,34,396,323,666,1849,248,35,2252,22,119,20,427,472,372,4,41,1400,1.0,21,63,175,17,670,0,2401,0.0,21,252.0,7210092.0,NORTH CAROLINA,2019
67,Total all ages,199517,8942,25854,366,200,1967,6409,5174,19503,977,200,20389,727,2954,710,3138,2469,2703,221,301,31431,32.0,3192,11639,1123,1272,2729,23,79647,0.0,21,,,NORTH CAROLINA,2019
68,Under 18,4152,66,559,2,6,7,51,69,423,59,8,523,4,14,5,16,183,22,0,31,332,0.0,299,23,410,0,740,0,856,0.0,69,103.0,759718.0,NORTH DAKOTA,2019
69,Total all ages,32647,756,3189,17,62,63,614,310,2623,235,21,2824,161,495,49,303,500,303,19,93,5005,2.0,448,4827,2474,230,1733,1,9166,0.0,69,,,NORTH DAKOTA,2019
70,Under 18,20149,1033,3287,22,86,372,553,468,2549,236,34,4684,11,135,1,340,868,328,2,111,1362,0.0,90,47,391,22,1676,0,5410,1.0,350,412.0,9198221.0,OHIO,2019
71,Total all ages,205987,8752,29869,244,438,1830,6240,3583,25142,893,251,34495,519,1826,22,2393,3656,4048,381,536,33435,19.0,1045,12301,4595,5060,9427,11,53227,20.0,350,,,OHIO,2019
72,Under 18,7195,403,1513,9,28,104,262,292,1014,179,28,868,4,32,21,204,197,168,0,37,1022,1.0,17,62,53,168,552,0,1296,0.0,577,406.0,3909106.0,OKLAHOMA,2019
73,Total all ages,100758,4569,15584,158,163,580,3668,2437,11607,1358,182,8539,515,1180,407,2621,1398,2742,46,374,16146,10.0,521,9053,823,9484,2131,258,23780,0.0,577,,,OKLAHOMA,2019
74,Under 18,8031,438,1614,4,34,121,279,207,1233,124,50,1097,11,33,2,20,498,73,0,67,1312,0.0,1,88,556,0,591,1,1361,0.0,268,152.0,3692097.0,OREGON,2019
75,Total all ages,124126,4638,18622,47,228,814,3549,1716,14836,1802,268,10595,653,1858,75,523,3520,2084,151,432,13131,4.0,356,12446,2340,28,6574,2,45826,0.0,268,,,OREGON,2019
76,Under 18,8153,654,1161,13,48,150,443,185,856,98,22,1243,11,49,12,95,386,155,0,92,685,0.0,9,79,354,41,1866,11,969,0.0,281,379.0,3254641.0,PENNSYLVANIA,2019
77,Total all ages,91934,4774,11136,105,220,701,3748,1250,9371,424,91,11187,721,1794,131,612,1837,1171,138,594,14931,32.0,733,12468,1522,6593,8380,89,12810,0.0,281,,,PENNSYLVANIA,2019
78,Under 18,2176,100,340,2,19,25,54,72,227,24,17,407,2,12,6,40,189,90,0,7,112,0.0,11,6,29,0,511,0,300,0.0,14,48.0,1059361.0,RHODE ISLAND,2019
79,Total all ages,25403,907,2512,10,106,107,684,486,1843,138,45,4056,160,594,109,275,936,363,43,87,1866,5.0,77,2483,278,28,2249,4,8357,0.0,14,,,RHODE ISLAND,2019
80,Under 18,9403,582,1918,21,86,160,315,369,1395,133,21,2227,12,50,12,123,334,389,0,43,1375,0.0,10,36,169,58,865,0,1189,0.0,11,254.0,4344727.0,SOUTH CAROLINA,2019
81,Total all ages,136075,6625,22443,298,439,1010,4878,2815,18515,1006,107,14931,1121,3125,400,2201,2644,2706,269,263,29084,47.0,927,7796,3730,5307,7939,562,23944,0.0,11,,,SOUTH CAROLINA,2019
82,Under 18,4791,112,546,2,9,13,88,48,413,79,6,657,2,51,4,47,156,107,0,15,754,0.0,237,60,516,3,476,0,986,0.0,62,106.0,816216.0,SOUTH DAKOTA,2019
83,Total all ages,44252,1138,2656,15,56,57,1010,285,2078,278,15,4801,162,777,24,179,537,279,19,48,7926,1.0,583,5522,1581,116,2525,628,14688,0.0,62,,,SOUTH DAKOTA,2019
84,Under 18,19687,1377,3717,28,105,461,783,532,2379,767,39,4059,40,139,19,122,843,435,0,125,2177,3.0,24,94,362,144,1403,0,3902,0.0,702,450.0,6521263.0,TENNESSEE,2019
85,Total all ages,321922,14335,36938,363,461,1687,11824,4621,28156,4006,155,31568,1970,4907,806,1519,4276,2673,503,548,45206,54.0,3268,18980,2957,13034,5678,10,131990,0.0,702,,,TENNESSEE,2019
86,Under 18,49409,4400,9351,79,330,1438,2553,1414,6802,1041,94,10062,104,247,24,99,1354,739,22,271,8464,13.0,280,281,916,492,960,8,10101,0.0,1221,791.0,25983457.0,TEXAS,2019
87,Total all ages,624840,33962,68132,698,1988,5539,25737,8256,54410,5038,428,73057,3808,6637,305,718,6787,11076,2999,1501,115658,295.0,3500,64161,6907,44330,6451,501,172833,1.0,1221,,,TEXAS,2019
88,Under 18,11334,337,2330,5,92,59,181,182,2016,97,35,1473,4,50,10,68,790,175,17,220,1968,0.0,34,139,574,44,330,0,2538,0.0,233,106.0,2858860.0,UTAH,2019
89,Total all ages,91685,2619,14165,54,340,354,1871,869,12813,398,85,8590,618,831,48,898,2906,870,185,693,14479,3.0,1617,5082,3240,2945,2353,54,29251,5.0,233,,,UTAH,2019
90,Under 18,803,47,135,0,15,6,26,42,77,14,2,238,0,2,8,4,79,17,0,8,27,0.0,3,15,16,0,101,0,103,0.0,0,80.0,622083.0,VERMONT,2019
91,Total all ages,15719,863,1984,10,94,52,707,256,1640,74,14,1766,43,317,58,94,424,38,3,37,927,0.0,219,2680,57,0,941,0,5268,0.0,0,,,VERMONT,2019
92,Under 18,15992,751,2783,21,102,311,317,260,2317,172,34,2810,23,115,23,142,436,278,3,101,1852,2.0,45,68,498,108,497,0,4944,0.0,513,390.0,8192933.0,VIRGINIA,2019
93,Total all ages,261659,6933,26107,299,541,1315,4778,2033,22921,996,157,29706,1429,4672,1119,930,3102,4060,513,580,42502,21.0,1393,20402,3983,19289,2802,39,91564,0.0,513,,,VIRGINIA,2019
94,Under 18,10101,937,1905,15,84,411,427,388,1321,162,34,2882,5,20,2,131,755,228,3,88,852,0.0,4,139,510,11,168,2,1458,0.0,1,219.0,7114406.0,WASHINGTON,2019
95,Total all ages,169836,8144,24058,125,542,1743,5734,3808,18867,1206,177,24675,664,1252,37,2912,4372,1822,328,493,11325,3.0,321,27638,1597,91,2412,167,57514,10.0,1,,,WASHINGTON,2019
96,Under 18,292,22,29,0,3,3,16,7,19,3,0,92,2,0,0,2,18,2,0,1,53,0.0,1,4,3,2,8,0,48,0.0,5,103.0,953873.0,WEST VIRGINIA,2019
97,Total all ages,16932,932,1896,24,46,41,821,340,1390,151,15,2343,126,191,28,179,282,196,3,32,3683,0.0,100,2382,334,187,378,15,3640,0.0,5,,,WEST VIRGINIA,2019
98,Under 18,33383,968,3872,13,217,232,506,341,3021,468,42,2497,18,117,35,292,1532,428,6,471,2710,6.0,87,226,1843,0,6763,10,10200,0.0,1302,401.0,5480021.0,WISCONSIN,2019
99,Total all ages,224571,7637,23823,173,844,1075,5545,1691,20720,1288,124,15813,906,1996,338,1013,5250,3280,357,1360,26175,9.0,1916,23934,9199,0,28343,365,71555,0.0,1302,,,WISCONSIN,2019
100,Under 18,3117,42,323,0,6,0,36,48,242,31,2,461,1,8,0,4,131,12,1,28,489,0.0,8,36,330,4,129,31,906,0.0,173,53.0,510856.0,WYOMING,2019
101,Total all ages,26028,437,1918,7,39,23,368,231,1556,104,27,2110,29,110,1,56,468,63,19,102,4611,1.0,339,3181,1798,2324,807,168,7300,13.0,173,,,WYOMING,2019
0,Under 18,40,6,9,0,0,1,5,4,5,0,0,7,0,1,0,0,3,0,0,0,2,0.0,0,0,2,0,2,0,8,0.0,0,7.0,66582.0,ALABAMA,2020
1,Total all ages,2050,104,189,8,7,11,78,47,127,14,1,158,24,43,2,19,19,14,0,11,131,0.0,20,76,16,44,23,0,1157,0.0,0,,,ALABAMA,2020
2,Under 18,1052,146,198,3,21,17,105,69,68,53,8,300,0,9,1,0,131,11,0,11,56,0.0,0,32,47,0,10,0,100,0.0,0,31.0,719120.0,ALASKA,2020
3,Total all ages,26353,2598,2396,33,160,287,2118,471,1545,338,42,4591,53,199,35,66,1063,332,1,242,808,0.0,101,3008,275,19,655,44,9865,2.0,0,,,ALASKA,2020
4,Under 18,13454,1049,1865,22,40,320,667,343,1219,273,30,2707,6,34,6,88,1165,281,5,216,1432,9.0,85,124,615,32,1040,38,2101,1.0,555,86.0,6456926.0,ARIZONA,2020
5,Total all ages,187255,11663,26624,340,322,1872,9129,3521,21221,1670,212,23451,610,1462,345,1022,8781,3600,368,1051,21945,9.0,1595,14909,3567,1291,11128,572,52697,10.0,555,,,ARIZONA,2020
6,Under 18,5173,415,920,25,49,80,261,205,647,62,6,1060,6,27,1,166,189,96,1,13,562,0.0,5,43,88,30,351,0,1034,0.0,166,249.0,2730633.0,ARKANSAS,2020
7,Total all ages,96862,5534,10925,195,281,437,4621,1702,8608,553,62,10858,618,625,29,1672,1518,1008,17,77,15294,8.0,253,4938,872,3123,2027,300,37000,0.0,166,,,ARKANSAS,2020
8,Under 18,23588,4643,3820,79,150,1953,2461,1563,1259,920,78,3910,23,113,9,590,1470,1734,5,434,1184,1.0,3,437,443,267,359,33,3715,0.0,395,673.0,38994766.0,CALIFORNIA,2020
9,Total all ages,847606,100579,72990,1594,2060,13636,83289,26220,28350,16369,2051,68962,2753,5042,680,14631,17493,28407,4453,7258,185985,675.0,308,95778,2728,35841,2636,3289,196723,0.0,395,,,CALIFORNIA,2020
10,Under 18,9095,706,1632,32,76,215,383,199,1081,301,51,1015,6,43,6,16,597,176,0,63,812,0.0,21,232,609,2,635,0,2221,0.0,303,197.0,5074548.0,COLORADO,2020
11,Total all ages,145095,8659,21458,236,441,1199,6783,2649,15064,3452,293,15449,488,1820,39,654,5215,2341,113,300,9231,0.0,1764,14421,3396,34,4221,89,55100,0.0,303,,,COLORADO,2020
12,Under 18,3791,232,956,10,23,103,96,132,569,244,11,761,8,14,4,152,189,73,0,29,203,1.0,21,16,9,0,607,0,515,0.0,1,107.0,3557006.0,CONNECTICUT,2020
13,Total all ages,68484,2664,8799,105,188,589,1782,1146,6919,667,67,14921,294,563,75,332,1529,1022,42,291,4422,7.0,1706,5151,59,0,8711,41,17854,0.0,1,,,CONNECTICUT,2020
14,Under 18,1862,215,382,1,11,90,113,132,184,59,7,459,1,27,2,89,124,56,0,16,96,0.0,0,2,22,6,84,0,257,0.0,24,54.0,984527.0,DELAWARE,2020
